Nome,Cognome,Nome_Completo,height,weight
Justin,Edwards,Justin Edwards,2.01,92.1
Reggie,Jackson,Reggie Jackson,1.88,94.3
Franz,Wagner,Franz Wagner,2.08,99.8
Paolo,Banchero,Paolo Banchero,2.08,113.4
Wendell,Carter Jr.,Wendell Carter Jr.,2.08,122.5
Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,1.96,92.5
Jalen,Suggs,Jalen Suggs,1.96,93.0
Gary,Harris,Gary Harris,1.93,95.3
Anthony,Black,Anthony Black,2.01,90.7
Cole,Anthony,Cole Anthony,1.88,83.9
Moritz,Wagner,Moritz Wagner,2.11,111.1
Jonathan,Isaac,Jonathan Isaac,2.08,104.3
Goga,Bitadze,Goga Bitadze,2.08,113.4
Cory,Joseph,Cory Joseph,1.88,90.7
Tristan,da Silva,Tristan da Silva,2.03,98.4
Jett,Howard,Jett Howard,1.98,97.5
Caleb,Houstan,Caleb Houstan,2.03,93.0
Jimmy,Butler III,Jimmy Butler III,2.01,104.3
Nikola,Jović,Nikola Jović,2.08,93.0
Bam,Adebayo,Bam Adebayo,2.06,115.7
Tyler,Herro,Tyler Herro,1.96,88.5
Terry,Rozier,Terry Rozier,1.85,86.2
Jaime,Jaquez Jr.,Jaime Jaquez Jr.,1.98,102.1
Thomas,Bryant,Thomas Bryant,2.08,112.5
Haywood,Highsmith,Haywood Highsmith,1.96,99.8
Duncan,Robinson,Duncan Robinson,2.01,97.5
Pelle,Larsson,Pelle Larsson,1.96,97.5
Kel'el,Ware,Kel'el Ware,2.13,104.3
Dru,Smith,Dru Smith,1.88,92.1
Alec,Burks,Alec Burks,1.96,97.1
Kevin,Love,Kevin Love,2.03,113.9
Josh,Richardson,Josh Richardson,1.96,90.7
Ben,Simmons,Ben Simmons,2.08,108.9
Cameron,Johnson,Cameron Johnson,2.03,95.3
Dorian,Finney-Smith,Dorian Finney-Smith,2.01,99.8
Cam,Thomas,Cam Thomas,1.91,95.3
Dennis,Schröder,Dennis Schröder,1.85,79.4
Jalen,Wilson,Jalen Wilson,1.98,99.8
Noah,Clowney,Noah Clowney,2.06,95.3
Nic,Claxton,Nic Claxton,2.11,97.5
Ziaire,Williams,Ziaire Williams,2.06,83.9
Shake,Milton,Shake Milton,1.96,93.0
Keon,Johnson,Keon Johnson,1.96,83.9
Jaylen,Martin,Jaylen Martin,1.98,98.0
Tyrese,Martin,Tyrese Martin,1.98,97.5
Dariq,Whitehead,Dariq Whitehead,1.98,99.8
Cui,Yongxi,Cui Yongxi,1.96,86.2
De'Andre,Hunter,De'Andre Hunter,2.03,100.2
Jalen,Johnson,Jalen Johnson,2.03,99.3
Clint,Capela,Clint Capela,2.08,116.1
Dyson,Daniels,Dyson Daniels,2.01,90.3
Trae,Young,Trae Young,1.85,74.4
Bogdan,Bogdanović,Bogdan Bogdanović,1.96,102.1
Onyeka,Okongwu,Onyeka Okongwu,2.08,108.9
Zaccharie,Risacher,Zaccharie Risacher,2.03,90.7
Vít,Krejčí,Vít Krejčí,2.03,88.5
Mouhamed,Gueye,Mouhamed Gueye,2.08,95.3
Garrison,Mathews,Garrison Mathews,1.98,97.5
Larry,Nance Jr.,Larry Nance Jr.,2.03,111.1
David,Roddy,David Roddy,1.93,115.7
Keaton,Wallace,Keaton Wallace,1.91,83.9
Zach,LaVine,Zach LaVine,1.96,90.7
Patrick,Williams,Patrick Williams,2.01,97.5
Nikola,Vučević,Nikola Vučević,2.08,117.9
Coby,White,Coby White,1.96,88.5
Josh,Giddey,Josh Giddey,2.03,98.0
Lonzo,Ball,Lonzo Ball,1.98,86.2
Ayo,Dosunmu,Ayo Dosunmu,1.96,90.7
Julian,Phillips,Julian Phillips,2.03,89.8
Jalen,Smith,Jalen Smith,2.06,97.5
Talen,Horton-Tucker,Talen Horton-Tucker,1.93,106.1
Matas,Buzelis,Matas Buzelis,2.08,94.8
Dalen,Terry,Dalen Terry,2.01,88.5
Chris,Duarte,Chris Duarte,1.96,86.2
Jevon,Carter,Jevon Carter,1.85,90.7
Torrey,Craig,Torrey Craig,1.96,100.2
Herbert,Jones,Herbert Jones,2.01,93.4
Brandon,Ingram,Brandon Ingram,2.03,86.2
Daniel,Theis,Daniel Theis,2.03,111.1
CJ,McCollum,CJ McCollum,1.91,86.2
Dejounte,Murray,Dejounte Murray,1.93,81.6
Yves,Missi,Yves Missi,2.11,106.6
Jordan,Hawkins,Jordan Hawkins,1.96,86.2
Javonte,Green,Javonte Green,1.96,93.0
Jose,Alvarado,Jose Alvarado,1.83,81.2
Jeremiah,Robinson-Earl,Jeremiah Robinson-Earl,2.03,108.9
Antonio,Reeves,Antonio Reeves,1.96,93.0
Karlo,Matković,Karlo Matković,2.08,104.8
Trey,Jemison III,Trey Jemison III,2.11,122.5
Cody,Martin,Cody Martin,1.98,93.0
Miles,Bridges,Miles Bridges,2.01,102.1
Nick,Richards,Nick Richards,2.13,111.1
Brandon,Miller,Brandon Miller,2.01,90.7
LaMelo,Ball,LaMelo Ball,2.01,81.6
Moussa,Diabaté,Moussa Diabaté,2.06,95.3
Vasilije,Micić,Vasilije Micić,1.91,85.3
Tre,Mann,Tre Mann,1.91,80.7
Grant,Williams,Grant Williams,1.98,107.0
Seth,Curry,Seth Curry,1.85,83.9
Taj,Gibson,Taj Gibson,2.06,105.2
Jared,Rhoden,Jared Rhoden,1.96,95.3
Tidjane,Salaün,Tidjane Salaün,2.03,93.9
KJ,Simpson,KJ Simpson,1.83,85.7
Nick,Smith Jr.,Nick Smith Jr.,1.88,83.9
Dillon,Brooks,Dillon Brooks,1.98,102.1
Jabari,Smith Jr.,Jabari Smith Jr.,2.08,99.8
Alperen,Sengun,Alperen Sengun,2.11,110.2
Jalen,Green,Jalen Green,1.93,84.4
Fred,VanVleet,Fred VanVleet,1.83,89.4
Amen,Thompson,Amen Thompson,2.01,90.7
Reed,Sheppard,Reed Sheppard,1.88,83.9
Jock,Landale,Jock Landale,2.11,115.7
Tari,Eason,Tari Eason,2.03,97.5
Cam,Whitmore,Cam Whitmore,2.01,104.3
N'Faly,Dante,N'Faly Dante,2.11,104.3
Jeff,Green,Jeff Green,2.03,106.6
Aaron,Holiday,Aaron Holiday,1.83,83.9
Jae'Sean,Tate,Jae'Sean Tate,1.93,104.3
Nate,Williams,Nate Williams,1.93,97.5
Nate,Williams,Nate Williams,1.96,93.0
Marcus,Smart,Marcus Smart,1.91,99.8
Santi,Aldama,Santi Aldama,2.13,97.5
Zach,Edey,Zach Edey,2.24,138.3
Desmond,Bane,Desmond Bane,1.96,97.5
Ja,Morant,Ja Morant,1.88,78.9
Scotty,Pippen Jr.,Scotty Pippen Jr.,1.85,77.1
Jaylen,Wells,Jaylen Wells,2.03,
Brandon,Clarke,Brandon Clarke,2.03,97.5
John,Konchar,John Konchar,1.96,95.3
Jake,LaRavia,Jake LaRavia,2.01,106.6
Jay,Huff,Jay Huff,2.16,108.9
Yuki,Kawamura,Yuki Kawamura,1.73,72.1
Lauri,Markkanen,Lauri Markkanen,2.13,108.9
Taylor,Hendricks,Taylor Hendricks,2.06,97.5
Walker,Kessler,Walker Kessler,2.13,111.1
Collin,Sexton,Collin Sexton,1.91,86.2
Keyonte,George,Keyonte George,1.93,83.9
Brice,Sensabaugh,Brice Sensabaugh,1.96,106.6
Jordan,Clarkson,Jordan Clarkson,1.91,88.0
John,Collins,John Collins,2.06,102.5
Cody,Williams,Cody Williams,2.01,86.2
Patty,Mills,Patty Mills,1.88,81.6
Drew,Eubanks,Drew Eubanks,2.08,111.1
Kyle,Filipowski,Kyle Filipowski,2.11,113.4
Svi,Mykhailiuk,Svi Mykhailiuk,2.01,93.0
Micah,Potter,Micah Potter,2.06,112.5
Oscar,Tshiebwe,Oscar Tshiebwe,2.03,115.7
Jonathan,Kuminga,Jonathan Kuminga,2.01,102.1
Draymond,Green,Draymond Green,1.98,104.3
Trayce,Jackson-Davis,Trayce Jackson-Davis,2.06,111.1
Andrew,Wiggins,Andrew Wiggins,2.01,89.4
Stephen,Curry,Stephen Curry,1.88,83.9
Buddy,Hield,Buddy Hield,1.93,99.8
Gary,Payton II,Gary Payton II,1.88,88.5
Brandin,Podziemski,Brandin Podziemski,1.93,93.0
Kevon,Looney,Kevon Looney,2.06,100.7
De'Anthony,Melton,De'Anthony Melton,1.91,90.7
Kyle,Anderson,Kyle Anderson,2.06,104.3
Moses,Moody,Moses Moody,1.96,95.7
Lindy,Waters III,Lindy Waters III,1.98,95.3
Gui,Santos,Gui Santos,1.98,83.9
Toumani,Camara,Toumani Camara,2.01,103.9
Jerami,Grant,Jerami Grant,2.01,95.3
Deandre,Ayton,Deandre Ayton,2.13,114.3
Deni,Avdija,Deni Avdija,2.06,108.9
Anfernee,Simons,Anfernee Simons,1.91,90.7
Scoot,Henderson,Scoot Henderson,1.91,93.4
Kris,Murray,Kris Murray,2.03,98.0
Rayan,Rupert,Rayan Rupert,1.98,88.5
Donovan,Clingan,Donovan Clingan,2.18,127.0
Dalano,Banton,Dalano Banton,2.03,92.1
Jabari,Walker,Jabari Walker,2.01,107.5
Duop,Reath,Duop Reath,2.06,111.1
Shaedon,Sharpe,Shaedon Sharpe,1.96,94.3
Matisse,Thybulle,Matisse Thybulle,1.96,91.2
Robert,Williams III,Robert Williams III,2.06,112.9
Bradley,Beal,Bradley Beal,1.93,93.9
Kevin,Durant,Kevin Durant,2.11,108.9
Jusuf,Nurkić,Jusuf Nurkić,2.13,131.5
Devin,Booker,Devin Booker,1.98,93.4
Tyus,Jones,Tyus Jones,1.85,88.9
Mason,Plumlee,Mason Plumlee,2.08,115.2
Royce,O'Neale,Royce O'Neale,1.98,102.5
Monté,Morris,Monté Morris,1.88,83.0
Ryan,Dunn,Ryan Dunn,2.03,98.0
Oso,Ighodaro,Oso Ighodaro,2.13,106.6
Grayson,Allen,Grayson Allen,1.93,89.8
Bol,Bol,Bol Bol,2.21,99.8
Damion,Lee,Damion Lee,1.98,95.3
Terance,Mann,Terance Mann,1.96,97.5
Derrick,Jones Jr.,Derrick Jones Jr.,1.98,95.3
Ivica,Zubac,Ivica Zubac,2.13,108.9
Norman,Powell,Norman Powell,1.93,97.5
James,Harden,James Harden,1.96,99.8
Kai,Jones,Kai Jones,2.11,100.2
Nicolas,Batum,Nicolas Batum,2.03,104.3
Kevin,Porter Jr.,Kevin Porter Jr.,1.93,92.1
Kris,Dunn,Kris Dunn,1.91,93.0
Amir,Coffey,Amir Coffey,2.01,95.3
Kobe,Brown,Kobe Brown,2.01,113.4
Cam,Christie,Cam Christie,1.98,86.2
Trentyn,Flowers,Trentyn Flowers,2.06,83.9
Bones,Hyland,Bones Hyland,1.88,76.7
Jordan,Miller,Jordan Miller,1.96,88.0
JD,Davison,JD Davison,1.85,88.5
Drew,Peterson,Drew Peterson,2.06,93.0
Bilal,Coulibaly,Bilal Coulibaly,2.03,88.5
Kyle,Kuzma,Kyle Kuzma,2.06,100.2
Alex,Sarr,Alex Sarr,2.13,93.0
Jordan,Poole,Jordan Poole,1.93,88.0
Bub,Carrington,Bub Carrington,1.93,86.2
Jonas,Valančiūnas,Jonas Valančiūnas,2.11,120.2
Corey,Kispert,Corey Kispert,1.98,101.6
Kyshawn,George,Kyshawn George,2.03,90.7
Jared,Butler,Jared Butler,1.91,87.5
Marvin,Bagley III,Marvin Bagley III,2.08,106.6
Johnny,Davis,Johnny Davis,1.88,77.1
Johnny,Davis,Johnny Davis,1.93,88.5
Patrick,Baldwin Jr.,Patrick Baldwin Jr.,2.06,99.8
Justin,Champagnie,Justin Champagnie,1.98,93.4
Anthony,Gill,Anthony Gill,2.03,104.3
Richaun,Holmes,Richaun Holmes,2.06,106.6
Harrison,Barnes,Harrison Barnes,2.03,102.1
Jeremy,Sochan,Jeremy Sochan,2.03,104.3
Victor,Wembanyama,Victor Wembanyama,2.21,106.6
Julian,Champagnie,Julian Champagnie,2.01,98.4
Chris,Paul,Chris Paul,1.83,79.4
Zach,Collins,Zach Collins,2.11,113.4
Keldon,Johnson,Keldon Johnson,1.96,99.8
Tre,Jones,Tre Jones,1.85,83.9
Stephon,Castle,Stephon Castle,1.98,97.5
Blake,Wesley,Blake Wesley,1.91,83.9
Sandro,Mamukelashvili,Sandro Mamukelashvili,2.06,108.9
Charles,Bassey,Charles Bassey,2.08,104.3
Malaki,Branham,Malaki Branham,1.93,81.6
Sidy,Cissoko,Sidy Cissoko,1.98,90.7
Harrison,Ingram,Harrison Ingram,1.96,104.3
Klay,Thompson,Klay Thompson,1.96,99.8
P.J.,Washington,P.J. Washington,1.98,104.3
Daniel,Gafford,Daniel Gafford,2.08,120.2
Kyrie,Irving,Kyrie Irving,1.88,88.5
Luka,Dončić,Luka Dončić,1.98,104.3
Quentin,Grimes,Quentin Grimes,1.93,95.3
Dereck,Lively II,Dereck Lively II,2.16,104.3
Maxi,Kleber,Maxi Kleber,2.08,108.9
Naji,Marshall,Naji Marshall,1.98,99.8
Jaden,Hardy,Jaden Hardy,1.91,89.8
Spencer,Dinwiddie,Spencer Dinwiddie,1.96,97.5
Dwight,Powell,Dwight Powell,2.08,108.9
Olivier-Maxence,Prosper,Olivier-Maxence Prosper,2.01,104.3
Jazian,Gortman,Jazian Gortman,1.88,83.5
Markieff,Morris,Markieff Morris,2.06,111.1
DeMar,DeRozan,DeMar DeRozan,1.98,99.8
Keegan,Murray,Keegan Murray,2.03,102.1
Domantas,Sabonis,Domantas Sabonis,2.08,108.9
Kevin,Huerter,Kevin Huerter,2.01,89.8
De'Aaron,Fox,De'Aaron Fox,1.91,83.9
Malik,Monk,Malik Monk,1.91,90.7
Keon,Ellis,Keon Ellis,1.93,79.4
Trey,Lyles,Trey Lyles,2.06,106.1
Alex,Len,Alex Len,2.13,113.4
Doug,McDermott,Doug McDermott,1.98,102.1
Colby,Jones,Colby Jones,1.98,93.9
Isaac,Jones,Isaac Jones,2.06,111.1
Jordan,McLaughlin,Jordan McLaughlin,1.83,83.9
Jalen,Williams,Jalen Williams,1.96,95.7
Luguentz,Dort,Luguentz Dort,1.93,99.8
Chet,Holmgren,Chet Holmgren,2.16,94.3
Isaiah,Joe,Isaiah Joe,1.91,74.8
Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,1.98,88.5
Cason,Wallace,Cason Wallace,1.91,88.5
Ousmane,Dieng,Ousmane Dieng,2.06,83.9
Alex,Caruso,Alex Caruso,1.96,84.4
Aaron,Wiggins,Aaron Wiggins,1.96,86.2
Ajay,Mitchell,Ajay Mitchell,1.96,86.2
Dillon,Jones,Dillon Jones,1.96,106.6
Adam,Flagler,Adam Flagler,1.91,81.6
Alex,Ducas,Alex Ducas,2.01,99.8
Alex,Reese,Alex Reese,2.06,111.1
Michael,Porter Jr.,Michael Porter Jr.,2.08,98.9
Aaron,Gordon,Aaron Gordon,2.03,106.6
Nikola,Jokić,Nikola Jokić,2.11,128.8
Christian,Braun,Christian Braun,1.98,99.8
Jamal,Murray,Jamal Murray,1.93,97.5
Julian,Strawther,Julian Strawther,1.98,93.0
Russell,Westbrook,Russell Westbrook,1.93,90.7
Peyton,Watson,Peyton Watson,2.01,90.7
Dario,Šarić,Dario Šarić,2.08,102.1
Vlatko,Čančar,Vlatko Čančar,2.03,107.0
Zeke,Nnaji,Zeke Nnaji,2.06,108.9
Hunter,Tyson,Hunter Tyson,2.03,97.5
Jalen,Pickett,Jalen Pickett,1.88,91.6
Trey,Alexander,Trey Alexander,1.93,83.9
DeAndre,Jordan,DeAndre Jordan,2.11,120.2
D.J.,Carton,D.J. Carton,1.91,90.7
Mac,McClung,Mac McClung,1.88,83.9
Isaiah,Jackson,Isaiah Jackson,2.06,93.0
Josh,Green,Josh Green,1.96,90.7
Adama,Sanogo,Adama Sanogo,2.06,111.1
Jason,Preston,Jason Preston,1.91,82.1
Zion,Williamson,Zion Williamson,1.98,128.8
Taze,Moore,Taze Moore,1.98,88.5
Collin,Gillespie,Collin Gillespie,1.85,88.5
Quincy,Olivari,Quincy Olivari,1.91,90.7
Armel,Traore,Armel Traore,2.10,111.1
Keshad,Johnson,Keshad Johnson,2.01,102.1
Trevelin,Queen,Trevelin Queen,1.96,86.2
Jaren,Jackson Jr.,Jaren Jackson Jr.,2.08,109.8
David,Duke Jr.,David Duke Jr.,1.93,92.5
Riley,Minix,Riley Minix,2.01,104.3
RJ,Barrett,RJ Barrett,1.98,97.1
Liam,Robbins,Liam Robbins,2.13,113.4
Steven,Adams,Steven Adams,2.11,120.2
Brandon,Williams,Brandon Williams,1.98,97.5
Brandon,Williams,Brandon Williams,1.85,86.2
Kessler,Edwards,Kessler Edwards,2.01,92.1
Daishen,Nix,Daishen Nix,1.91,102.5
Johnny,Juzang,Johnny Juzang,1.96,102.5
Jamal,Cain,Jamal Cain,1.98,86.6
Brandon,Boston,Brandon Boston,1.98,85.3
Pat,Spencer,Pat Spencer,1.91,93.0
Reece,Beekman,Reece Beekman,1.91,86.2
Kobe,Bufkin,Kobe Bufkin,1.93,88.5
Christian,Wood,Christian Wood,2.03,97.1
Trendon,Watford,Trendon Watford,2.03,107.5
Colin,Castleton,Colin Castleton,2.08,113.4
Luke,Travers,Luke Travers,2.01,93.9
Ja'Kobe,Walter,Ja'Kobe Walter,1.96,81.6
Malevy,Leons,Malevy Leons,2.06,95.3
JT,Thor,JT Thor,2.06,92.1
Josh,Okogie,Josh Okogie,1.93,96.6
Spencer,Jones,Spencer Jones,2.01,102.1
Dominick,Barlow,Dominick Barlow,2.03,97.5
Jaylen,Nowell,Jaylen Nowell,1.93,91.2
Stanley,Umude,Stanley Umude,1.98,95.3
Jarred,Vanderbilt,Jarred Vanderbilt,2.03,97.1
Mason,Jones,Mason Jones,1.93,90.7
Paul,George,Paul George,2.03,99.8
Matt,Ryan,Matt Ryan,1.98,97.5
Christian,Koloko,Christian Koloko,2.13,102.1
Luke,Kennard,Luke Kennard,1.96,93.4
Jack,McVeigh,Jack McVeigh,2.03,97.5
Joel,Embiid,Joel Embiid,2.13,127.0
Isaiah,Collier,Isaiah Collier,1.91,95.3
Devin,Vassell,Devin Vassell,1.96,90.7
Kenrich,Williams,Kenrich Williams,1.98,95.3
Trey,Murphy III,Trey Murphy III,2.03,93.4
TyTy,Washington Jr.,TyTy Washington Jr.,1.91,88.5
Jalen,Bridges,Jalen Bridges,2.03,102.1
Bryce,McGowens,Bryce McGowens,1.98,86.2
Justin,Minaya,Justin Minaya,1.96,93.0
E.J.,Liddell,E.J. Liddell,1.98,108.9
PJ,Hall,PJ Hall,2.08,111.1
Vince,Williams Jr.,Vince Williams Jr.,1.93,93.0
Kristaps,Porziņģis,Kristaps Porziņģis,2.18,108.9
Orlando,Robinson,Orlando Robinson,2.08,106.6
Malcolm,Brogdon,Malcolm Brogdon,1.93,103.9
Branden,Carlson,Branden Carlson,2.13,99.8
Mo,Bamba,Mo Bamba,2.13,104.8
Tristen,Newton,Tristen Newton,1.96,86.2
Quinten,Post,Quinten Post,2.13,108.0
Elfrid,Payton,Elfrid Payton,1.91,88.5
Isaiah,Hartenstein,Isaiah Hartenstein,2.13,113.4
Cam,Spencer,Cam Spencer,1.93,93.0
Moses,Brown,Moses Brown,2.18,117.0
Ausar,Thompson,Ausar Thompson,1.98,93.0
Jaylen,Clark,Jaylen Clark,1.93,93.0
Jae,Crowder,Jae Crowder,1.98,106.6
DaQuan,Jeffries,DaQuan Jeffries,1.96,100.7
Isaiah,Crawford,Isaiah Crawford,1.98,99.8
Day'Ron,Sharpe,Day'Ron Sharpe,2.06,120.2
Pete,Nance,Pete Nance,2.08,102.1
Mark,Williams,Mark Williams,2.13,108.9
Isaiah,Wong,Isaiah Wong,1.91,83.9
Precious,Achiuwa,Precious Achiuwa,2.03,110.2
Khris,Middleton,Khris Middleton,2.01,100.7
Kelly,Olynyk,Kelly Olynyk,2.11,108.9
Boo,Buie III,Boo Buie III,1.88,82.0
A.J.,Lawson,A.J. Lawson,1.98,81.2
Max,Strus,Max Strus,1.96,97.5
Josh,Christopher,Josh Christopher,1.93,97.5
Landry,Shamet,Landry Shamet,1.93,86.2
Jesse,Edwards,Jesse Edwards,2.13,107.0
Tristan,Vukcevic,Tristan Vukcevic,2.13,99.8
Jaylin,Williams,Jaylin Williams,2.06,108.9
Bobi,Klintman,Bobi Klintman,2.06,102.1
Isaiah,Stevens,Isaiah Stevens,1.83,83.9
Bruce,Brown,Bruce Brown,1.93,91.6
Devin,Carter,Devin Carter,1.88,88.5
