epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,1029.91,0.49097,0.29709,0.84524,0.5751,0.55718,0.53427,0.29041,0.92648,0.51017,1.07318,0.00019805,0.00019805,0.00019805
124,1037.79,0.46627,0.27563,0.83395,0.57224,0.55972,0.54168,0.29394,0.92347,0.49516,1.06925,0.000195575,0.000195575,0.000195575
125,1045.64,0.45479,0.27718,0.83085,0.53186,0.5543,0.5238,0.29593,0.93234,0.4792,1.07298,0.0001931,0.0001931,0.0001931
126,1053.65,0.46291,0.27137,0.83532,0.65004,0.55165,0.54838,0.29875,0.92223,0.46968,1.06596,0.000190625,0.000190625,0.000190625
127,1062.32,0.46613,0.31962,0.8358,0.62476,0.55942,0.54698,0.29835,0.93071,0.46855,1.07074,0.00018815,0.00018815,0.00018815
128,1070.48,0.48512,0.283,0.84232,0.58084,0.55473,0.53459,0.29457,0.92558,0.47035,1.07276,0.000185675,0.000185675,0.000185675
129,1078.71,0.47511,0.28284,0.838,0.57406,0.56778,0.53694,0.29271,0.93018,0.48117,1.07574,0.0001832,0.0001832,0.0001832
130,1086.88,0.44557,0.26901,0.83203,0.54722,0.56139,0.53254,0.29702,0.93348,0.49574,1.07334,0.000180725,0.000180725,0.000180725
131,1095.04,0.43163,0.25729,0.82759,0.52933,0.55914,0.52621,0.30048,0.92194,0.47934,1.07127,0.00017825,0.00017825,0.00017825
132,1103.22,0.43391,0.2657,0.82991,0.66542,0.50602,0.55026,0.30432,0.92017,0.47853,1.07124,0.000175775,0.000175775,0.000175775
133,1111.59,0.43412,0.26306,0.83184,0.56182,0.56943,0.54078,0.30395,0.93147,0.47456,1.07381,0.0001733,0.0001733,0.0001733
134,1119.42,0.43166,0.26296,0.83133,0.55691,0.58946,0.53417,0.29758,0.92931,0.47588,1.07078,0.000170825,0.000170825,0.000170825
135,1127.37,0.43839,0.25988,0.8335,0.54707,0.55726,0.52818,0.29434,0.93205,0.48323,1.07425,0.00016835,0.00016835,0.00016835
136,1135.16,0.44408,0.27289,0.82504,0.55518,0.58025,0.53769,0.3023,0.92913,0.48089,1.07584,0.000165875,0.000165875,0.000165875
137,1143.1,0.43473,0.2645,0.82542,0.57552,0.55636,0.5321,0.29416,0.92832,0.50178,1.07346,0.0001634,0.0001634,0.0001634
138,1151.25,0.47333,0.29222,0.84311,0.56511,0.54749,0.53531,0.2941,0.92257,0.47001,1.06966,0.000160925,0.000160925,0.000160925
139,1159.49,0.43725,0.26321,0.82743,0.58534,0.52252,0.52594,0.29204,0.928,0.48024,1.06946,0.00015845,0.00015845,0.00015845
140,1167.61,0.43333,0.27108,0.83097,0.56368,0.57625,0.52459,0.28982,0.92413,0.46971,1.06685,0.000155975,0.000155975,0.000155975
141,1175.52,0.43496,0.27206,0.83605,0.55436,0.56466,0.51393,0.28869,0.92985,0.48035,1.07412,0.0001535,0.0001535,0.0001535
142,1183.36,0.42821,0.25654,0.82128,0.55624,0.56,0.53238,0.29251,0.92944,0.49157,1.07928,0.000151025,0.000151025,0.000151025
143,1191.23,0.42891,0.26389,0.82942,0.55858,0.58667,0.53472,0.28586,0.94435,0.50085,1.08893,0.00014855,0.00014855,0.00014855
144,1199.25,0.43052,0.25439,0.82195,0.58339,0.54823,0.53302,0.30157,0.93835,0.48846,1.08811,0.000146075,0.000146075,0.000146075
145,1207.08,0.42086,0.25473,0.82616,0.55756,0.56404,0.53555,0.30564,0.93278,0.4799,1.08025,0.0001436,0.0001436,0.0001436
146,1215.07,0.44151,0.26184,0.83242,0.60796,0.52227,0.52996,0.29813,0.93429,0.48669,1.07987,0.000141125,0.000141125,0.000141125
147,1223.21,0.42126,0.25911,0.82799,0.60008,0.52461,0.52795,0.29629,0.93502,0.48036,1.08215,0.00013865,0.00013865,0.00013865
148,1231.43,0.42183,0.25449,0.82769,0.58129,0.52331,0.51899,0.29441,0.94329,0.48599,1.09039,0.000136175,0.000136175,0.000136175
149,1239.47,0.41323,0.25362,0.82332,0.5399,0.55546,0.51776,0.29396,0.93959,0.49328,1.08683,0.0001337,0.0001337,0.0001337
150,1247.29,0.41444,0.25243,0.82854,0.5732,0.56028,0.53297,0.29717,0.9448,0.48188,1.09218,0.000131225,0.000131225,0.000131225
151,1255.13,0.4372,0.26028,0.82855,0.57885,0.5524,0.53341,0.30201,0.94159,0.48361,1.09068,0.00012875,0.00012875,0.00012875
152,1262.99,0.42625,0.26235,0.83197,0.55781,0.56422,0.52971,0.2974,0.94298,0.48319,1.09372,0.000126275,0.000126275,0.000126275
153,1270.96,0.40625,0.24706,0.82505,0.58555,0.56615,0.53773,0.30184,0.9405,0.4786,1.08914,0.0001238,0.0001238,0.0001238
154,1279.02,0.39605,0.24342,0.81823,0.58006,0.56703,0.55091,0.30754,0.94145,0.47634,1.08938,0.000121325,0.000121325,0.000121325
155,1288.03,0.401,0.24687,0.82889,0.57121,0.56128,0.52609,0.29497,0.93529,0.46933,1.08722,0.00011885,0.00011885,0.00011885
156,1296.22,0.41259,0.25207,0.81932,0.5712,0.55883,0.53418,0.29943,0.93263,0.46993,1.08632,0.000116375,0.000116375,0.000116375
157,1304.39,0.41106,0.24494,0.82608,0.58152,0.54241,0.54402,0.29968,0.93516,0.46716,1.08931,0.0001139,0.0001139,0.0001139
158,1312.59,0.41408,0.2504,0.82502,0.5733,0.55226,0.54356,0.30283,0.93132,0.46862,1.08623,0.000111425,0.000111425,0.000111425
159,1320.61,0.38853,0.23519,0.81016,0.62679,0.50632,0.52464,0.30104,0.93258,0.46994,1.08805,0.00010895,0.00010895,0.00010895
160,1328.58,0.39994,0.2453,0.81849,0.56245,0.56209,0.52745,0.30289,0.9305,0.47426,1.08344,0.000106475,0.000106475,0.000106475
161,1336.47,0.38281,0.23478,0.81965,0.5639,0.56579,0.53543,0.30459,0.93705,0.47392,1.08588,0.000104,0.000104,0.000104
162,1344.3,0.39045,0.24084,0.81793,0.5606,0.5657,0.53568,0.30096,0.93378,0.47117,1.08407,0.000101525,0.000101525,0.000101525
163,1352.15,0.39328,0.24386,0.8267,0.56098,0.55434,0.54359,0.3027,0.9376,0.46765,1.08625,9.905e-05,9.905e-05,9.905e-05
164,1360,0.39857,0.24182,0.82426,0.55612,0.5574,0.54484,0.3057,0.93181,0.46665,1.08216,9.6575e-05,9.6575e-05,9.6575e-05
165,1367.85,0.39264,0.24425,0.82019,0.61773,0.53742,0.55214,0.3057,0.93449,0.47324,1.08385,9.41e-05,9.41e-05,9.41e-05
166,1375.95,0.3866,0.23567,0.82029,0.58089,0.56275,0.54112,0.30045,0.93585,0.47701,1.08284,9.1625e-05,9.1625e-05,9.1625e-05
